admissionNo,firstName,lastName,classCode,guardianName,guardianRelation,guardianPhone,guardianEmail,academicYear
PAK00001,Rakesh,Desai,1-RUBY,"Bharat Mishra",Father,9765000001,bharat.mishra.1@paramountkasrawad.edu,2025-2026
PAK00002,Farhan,Reddy,1-RUBY,"Naresh Dhillon",Parent,9765000002,naresh.dhillon.2@paramountkasrawad.edu,2025-2026
PAK00003,Dhruv,Gupta,1-RUBY,"Naresh Kaur",Mother,9765000003,naresh.kaur.3@paramountkasrawad.edu,2025-2026
PAK00004,Ekta,Mishra,1-RUBY,"Arvind Sharma",Guardian,9765000004,arvind.sharma.4@paramountkasrawad.edu,2025-2026
PAK00005,Kavya,Deshmukh,1-RUBY,"Ashok Rao",Parent,9765000005,ashok.rao.5@paramountkasrawad.edu,2025-2026
PAK00006,Om,Chandel,1-RUBY,"Rekha Deshmukh",Parent,9765000006,rekha.deshmukh.6@paramountkasrawad.edu,2025-2026
PAK00007,Rohit,Mishra,1-RUBY,"Geeta Chandel",Mother,9765000007,geeta.chandel.7@paramountkasrawad.edu,2025-2026
PAK00008,Pooja,Shukla,1-RUBY,"Arvind More",Parent,9765000008,arvind.more.8@paramountkasrawad.edu,2025-2026
PAK00009,Sanskriti,Khanna,1-RUBY,"Deepa Bhat",Father,9765000009,deepa.bhat.9@paramountkasrawad.edu,2025-2026
PAK00010,Sneha,Pillai,1-RUBY,"Bharat Grewal",Parent,9765000010,bharat.grewal.10@paramountkasrawad.edu,2025-2026
PAK00011,Gaurav,Qureshi,1-RUBY,"Bharat Chandel",Guardian,9765000011,bharat.chandel.11@paramountkasrawad.edu,2025-2026
PAK00012,Neha,Chandel,1-RUBY,"Mahesh Rao",Guardian,9765000012,mahesh.rao.12@paramountkasrawad.edu,2025-2026
PAK00013,Divya,Arora,1-RUBY,"Kavita Gupta",Father,9765000013,kavita.gupta.13@paramountkasrawad.edu,2025-2026
PAK00014,Saloni,Chaurasia,1-RUBY,"Meena Arora",Parent,9765000014,meena.arora.14@paramountkasrawad.edu,2025-2026
PAK00015,Lakshmi,Mishra,1-RUBY,"Naresh Arora",Parent,9765000015,naresh.arora.15@paramountkasrawad.edu,2025-2026
PAK00016,Aarav,Arora,1-RUBY,"Anil Qureshi",Father,9765000016,anil.qureshi.16@paramountkasrawad.edu,2025-2026
PAK00017,Vijay,Trivedi,1-RUBY,"Meena Khan",Guardian,9765000017,meena.khan.17@paramountkasrawad.edu,2025-2026
PAK00018,Ajay,Khan,1-RUBY,"Bharat Malhotra",Parent,9765000018,bharat.malhotra.18@paramountkasrawad.edu,2025-2026
PAK00019,Nisha,Koshal,1-RUBY,"Jagdish Srivastava",Guardian,9765000019,jagdish.srivastava.19@paramountkasrawad.edu,2025-2026
PAK00020,Sanjeev,Bhat,1-RUBY,"Seema Upadhyay",Mother,9765000020,seema.upadhyay.20@paramountkasrawad.edu,2025-2026
PAK00021,Saloni,Deshmukh,1-RUBY,"Ashok Malhotra",Mother,9765000021,ashok.malhotra.21@paramountkasrawad.edu,2025-2026
PAK00022,Sneha,Deshmukh,1-RUBY,"Bharat Farooqui",Guardian,9765000022,bharat.farooqui.22@paramountkasrawad.edu,2025-2026
PAK00023,Neha,Yadav,1-RUBY,"Sanjeev Rajak",Guardian,9765000023,sanjeev.rajak.23@paramountkasrawad.edu,2025-2026
PAK00024,Gaurav,Naik,1-RUBY,"Vinod Qureshi",Father,9765000024,vinod.qureshi.24@paramountkasrawad.edu,2025-2026
PAK00025,Imran,Trivedi,1-RUBY,"Arvind Gaikwad",Mother,9765000025,arvind.gaikwad.25@paramountkasrawad.edu,2025-2026
PAK00026,Ajay,Farooqui,1-RUBY,"Pankaj Kumar",Father,9765000026,pankaj.kumar.26@paramountkasrawad.edu,2025-2026
PAK00027,Zara,Choudhary,1-RUBY,"Ashok Kaur",Mother,9765000027,ashok.kaur.27@paramountkasrawad.edu,2025-2026
PAK00028,Sanskriti,Shukla,1-RUBY,"Arvind Chandel",Parent,9765000028,arvind.chandel.28@paramountkasrawad.edu,2025-2026
PAK00029,Vaishnavi,Grewal,1-RUBY,"Umesh Sidhu",Mother,9765000029,umesh.sidhu.29@paramountkasrawad.edu,2025-2026
PAK00030,Om,Pillai,1-RUBY,"Priya Dubey",Mother,9765000030,priya.dubey.30@paramountkasrawad.edu,2025-2026
PAK00031,Bhoomika,Bhat,1-RUBY,"Gopal Trivedi",Parent,9765000031,gopal.trivedi.31@paramountkasrawad.edu,2025-2026
PAK00032,Sneha,Desai,1-RUBY,"Seema Dubey",Mother,9765000032,seema.dubey.32@paramountkasrawad.edu,2025-2026
PAK00033,Omkar,Naik,1-RUBY,"Rekha Choudhary",Guardian,9765000033,rekha.choudhary.33@paramountkasrawad.edu,2025-2026
PAK00034,Kavya,Soni,1-RUBY,"Meena Khatri",Parent,9765000034,meena.khatri.34@paramountkasrawad.edu,2025-2026
PAK00035,Mohit,More,1-RUBY,"Umesh Sharma",Father,9765000035,umesh.sharma.35@paramountkasrawad.edu,2025-2026
PAK00036,Anuj,Arora,1-DIAMOND,"Deepa Trivedi",Guardian,9765000036,deepa.trivedi.36@paramountkasrawad.edu,2025-2026
PAK00037,Keerat,Pandey,1-DIAMOND,"Kishore Choudhary",Parent,9765000037,kishore.choudhary.37@paramountkasrawad.edu,2025-2026
PAK00038,Yogesh,Soni,1-DIAMOND,"Deepa Kapoor",Guardian,9765000038,deepa.kapoor.38@paramountkasrawad.edu,2025-2026
PAK00039,Qadir,Trivedi,1-DIAMOND,"Savita Salve",Mother,9765000039,savita.salve.39@paramountkasrawad.edu,2025-2026
PAK00040,Imran,Mishra,1-DIAMOND,"Satish Grewal",Parent,9765000040,satish.grewal.40@paramountkasrawad.edu,2025-2026
PAK00041,Rakesh,Dubey,1-DIAMOND,"Harish Gaikwad",Parent,9765000041,harish.gaikwad.41@paramountkasrawad.edu,2025-2026
PAK00042,Radha,Chauhan,1-DIAMOND,"Mahesh Sharma",Parent,9765000042,mahesh.sharma.42@paramountkasrawad.edu,2025-2026
PAK00043,Sneha,Upadhyay,1-DIAMOND,"Umesh Mehta",Parent,9765000043,umesh.mehta.43@paramountkasrawad.edu,2025-2026
PAK00044,Yogesh,Deshmukh,1-DIAMOND,"Pankaj Farooqui",Guardian,9765000044,pankaj.farooqui.44@paramountkasrawad.edu,2025-2026
PAK00045,Namrata,Rao,1-DIAMOND,"Ashok Sharma",Mother,9765000045,ashok.sharma.45@paramountkasrawad.edu,2025-2026
PAK00046,Neha,Reddy,1-DIAMOND,"Geeta More",Parent,9765000046,geeta.more.46@paramountkasrawad.edu,2025-2026
PAK00047,Pooja,Dubey,1-DIAMOND,"Umesh Chandel",Father,9765000047,umesh.chandel.47@paramountkasrawad.edu,2025-2026
PAK00048,Deepak,Kaur,1-DIAMOND,"Deepa Joshi",Mother,9765000048,deepa.joshi.48@paramountkasrawad.edu,2025-2026
PAK00049,Uma,Mehta,1-DIAMOND,"Kavita Malhotra",Parent,9765000049,kavita.malhotra.49@paramountkasrawad.edu,2025-2026
PAK00050,Rakesh,Yadav,1-DIAMOND,"Kavita Singh",Mother,9765000050,kavita.singh.50@paramountkasrawad.edu,2025-2026
PAK00051,Bhoomika,Trivedi,1-DIAMOND,"Priya Patel",Mother,9765000051,priya.patel.51@paramountkasrawad.edu,2025-2026
PAK00052,Yogesh,Chauhan,1-DIAMOND,"Meena Soni",Mother,9765000052,meena.soni.52@paramountkasrawad.edu,2025-2026
PAK00053,Vijay,Soni,1-DIAMOND,"Suresh Arora",Mother,9765000053,suresh.arora.53@paramountkasrawad.edu,2025-2026
PAK00054,Pooja,Bhat,1-DIAMOND,"Suresh Koshal",Guardian,9765000054,suresh.koshal.54@paramountkasrawad.edu,2025-2026
PAK00055,Rahul,Yadav,1-DIAMOND,"Harish Trivedi",Parent,9765000055,harish.trivedi.55@paramountkasrawad.edu,2025-2026
PAK00056,Ajay,Kapoor,1-DIAMOND,"Ramesh Chandel",Guardian,9765000056,ramesh.chandel.56@paramountkasrawad.edu,2025-2026
PAK00057,Neha,Khan,1-DIAMOND,"Kavita Gaikwad",Guardian,9765000057,kavita.gaikwad.57@paramountkasrawad.edu,2025-2026
PAK00058,Radha,Patel,1-DIAMOND,"Jagdish Rajak",Father,9765000058,jagdish.rajak.58@paramountkasrawad.edu,2025-2026
PAK00059,Aryan,Sidhu,1-DIAMOND,"Harish Verma",Mother,9765000059,harish.verma.59@paramountkasrawad.edu,2025-2026
PAK00060,Aarav,Nair,1-DIAMOND,"Kavita Deshmukh",Father,9765000060,kavita.deshmukh.60@paramountkasrawad.edu,2025-2026
PAK00061,Radha,Chopra,1-DIAMOND,"Umesh Dhillon",Guardian,9765000061,umesh.dhillon.61@paramountkasrawad.edu,2025-2026
PAK00062,Chetan,Qureshi,1-DIAMOND,"Ramesh Singh",Mother,9765000062,ramesh.singh.62@paramountkasrawad.edu,2025-2026
PAK00063,Priya,Kumar,1-DIAMOND,"Mahesh Dubey",Parent,9765000063,mahesh.dubey.63@paramountkasrawad.edu,2025-2026
PAK00064,Omkar,More,1-DIAMOND,"Rajesh Koshal",Guardian,9765000064,rajesh.koshal.64@paramountkasrawad.edu,2025-2026
PAK00065,Zaid,Rao,1-DIAMOND,"Gopal Kaur",Guardian,9765000065,gopal.kaur.65@paramountkasrawad.edu,2025-2026
PAK00066,Sunita,Rao,1-DIAMOND,"Jagdish Pandey",Parent,9765000066,jagdish.pandey.66@paramountkasrawad.edu,2025-2026
PAK00067,Laxmi,Yadav,1-DIAMOND,"Naresh Singh",Father,9765000067,naresh.singh.67@paramountkasrawad.edu,2025-2026
PAK00068,Keerat,Kumar,1-DIAMOND,"Deepa Naik",Mother,9765000068,deepa.naik.68@paramountkasrawad.edu,2025-2026
PAK00069,Aarav,Upadhyay,1-DIAMOND,"Meena Joshi",Mother,9765000069,meena.joshi.69@paramountkasrawad.edu,2025-2026
PAK00070,Saloni,Koshal,1-DIAMOND,"Ashok Dubey",Parent,9765000070,ashok.dubey.70@paramountkasrawad.edu,2025-2026
PAK00071,Mohit,Srivastava,2-RUBY,"Umesh Mirza",Father,9765000071,umesh.mirza.71@paramountkasrawad.edu,2025-2026
PAK00072,Yash,Soni,2-RUBY,"Ramesh Qureshi",Parent,9765000072,ramesh.qureshi.72@paramountkasrawad.edu,2025-2026
PAK00073,Namrata,Kaur,2-RUBY,"Anil Chopra",Parent,9765000073,anil.chopra.73@paramountkasrawad.edu,2025-2026
PAK00074,Qadir,Tiwari,2-RUBY,"Pankaj Deshmukh",Mother,9765000074,pankaj.deshmukh.74@paramountkasrawad.edu,2025-2026
PAK00075,Aryan,Khan,2-RUBY,"Ashok Arora",Guardian,9765000075,ashok.arora.75@paramountkasrawad.edu,2025-2026
PAK00076,Aditya,Gaikwad,2-RUBY,"Suresh Shukla",Parent,9765000076,suresh.shukla.76@paramountkasrawad.edu,2025-2026
PAK00077,Kavya,Pandey,2-RUBY,"Bharat Shah",Mother,9765000077,bharat.shah.77@paramountkasrawad.edu,2025-2026
